fips,pop
47031,56520
47047,41133
47067,6620
47073,56786
47091,17788
47103,34366
47111,24602
47127,6488
47147,71813
47051,42208
47009,133088
47021,40667
47019,56391
47057,23320
47055,29464
47097,25633
47099,44142
47113,97984
47115,28907
47133,22241
47137,5048
47165,191283
47181,16673
47169,11284
47187,238412
47003,49713
47027,7615
47059,69069
47035,60520
47157,937166
47175,5872
47025,31959
47077,28117
47081,25178
47085,18582
47089,54495
47141,80245
47153,15026
47155,98250
47161,13715
47017,27767
47023,17297
47039,11663
47037,694144
47087,11786
47109,25694
47135,8076
47145,53382
47011,108110
47121,12422
47063,64934
47075,17304
47173,19972
47071,25652
47125,208993
47043,53948
47129,21403
47061,13427
47123,46545
47079,32345
47029,36004
47033,14230
47041,20490
28089,106272
28013,14361
28091,24573
28141,19383
28153,20183
28041,13586
28093,35294
28119,6792
28109,55535
28079,22786
28103,10417
28099,29118
28121,155271
28137,28321
28151,43909
28077,12586
28107,34192
28111,11973
28161,12108
28017,17103
28015,9947
28029,28065
28039,24500
28043,20758
28049,231840
28063,6990
28101,21018
28145,28815
28117,25126
28125,4321
28139,22015
28019,8210
28035,74897
28045,47632
28057,23390
28071,54019
28055,1327
28059,143617
28087,58595
28083,28183
28143,9632
28157,8630
28021,8988
28047,208080
28065,11128
28075,74125
28085,34153
28123,28124
28127,26658
28159,17955
28163,29690
28007,18174
28011,30628
28073,63343
28081,85436
28113,39288
28135,13809
28129,15916
29053,17709
29059,16878
29075,6571
29085,9544
29113,59013
29133,13180
29137,8644
29145,58236
29153,9174
29163,18302
29183,402022
29017,12133
29031,78871
51065,27270
51007,13145
51750,18249
51840,28078
51001,32316
51045,5131
51063,15749
51071,16720
51077,15550
51135,15232
51157,7370
51036,6963
51047,52605
51053,28544
51079,19819
51085,107766
51111,12196
51137,37051
51595,5346
51197,28684
51550,244835
51570,17370
51660,53016
51003,109330
51021,6280
51019,78997
51023,33419
51029,17148
51195,37383
51520,16762
51580,5538
51740,94398
51830,14954
51810,449974
51005,14860
51035,29791
51640,6347
51191,53740
51193,18015
51133,12095
51139,23902
51155,34027
51187,40164
51510,159428
51590,40044
51630,29036
51650,134510
51009,31605
51013,236842
51017,4147
51670,22529
51027,21004
51700,179225
51069,89313
51179,152882
51680,82168
51199,68280
51760,230436
51690,12554
51125,14930
51057,10953
51143,60354
51185,40595
51530,6478
51610,14617
51685,17478
51730,31346
51735,12271
51183,11159
51600,24019
51820,22630
51683,41085
51770,99143
51775,25301
51800,92108
51710,242742
51037,11880
51041,352802
51059,1147532
51081,11336
53047,42243
53037,47935
53067,290536
53005,204390
53013,3985
53011,488241
29205,5930
29225,39592
29005,5143
29013,16172
29015,19443
29035,5982
29057,7561
29115,11920
29091,40117
29101,54062
29105,35723
29125,8697
29161,44573
29165,104418
29187,67215
29510,300576
29003,17712
29023,42478
29033,8679
28131,18336
28149,45381
28023,15541
28069,9742
28097,9775
28105,49587
28133,25110
28155,9689
28003,36953
28001,30693
28025,19316
28033,184945
28031,18636
28053,8064
42045,566747
42043,278299
50025,42222
50003,35470
50001,36777
50009,6163
50023,58409
49027,13188
49045,72259
49053,177556
49025,7886
49043,42145
49019,9754
49031,1479
49033,2483
49051,34091
49001,6710
49003,56046
49021,54839
49039,30939
49041,21620
49049,636235
49057,260213
49013,19938
49037,15308
49035,1160437
49047,35734
49009,950
49011,355481
49055,2711
49007,20463
49015,10012
49029,12124
49005,128289
49017,5051
49023,12017
51093,37109
51095,76523
51167,26586
51620,7967
51173,30104
51540,47266
51678,7446
51031,54885
51087,330818
50005,29993
51089,50557
51099,26836
51101,17148
51103,10603
51105,23423
51109,37591
51115,8834
51119,10582
51147,22802
51149,38353
51159,9023
51165,81948
51169,21566
51177,136215
51181,6422
51011,15911
51043,14619
51067,56042
51097,7025
51117,30587
51121,98535
51127,23091
51015,75558
51049,9932
51051,14318
51075,23753
51083,33911
51107,413538
51113,13261
51153,470335
51161,94186
51175,17631
51091,2190
51025,16231
51033,30725
51073,37348
51131,11710
51141,17608
51145,29652
51163,22573
51171,43616
51061,71222
51720,3981
51790,24932
42055,155027
42119,44923
42127,51361
42009,47888
42089,170271
42061,45144
42125,206865
42101,1584064
42133,449058
42063,84073
42041,253370
42003,1216045
42129,348899
42053,7247
42013,121829
42073,85512
42015,60323
42021,130192
42029,524989
42011,421164
42111,73447
42087,46138
29129,3617
29123,12088
29229,18289
29047,249948
29217,20563
29065,15573
29195,22761
29147,22092
29227,2013
29041,7426
29079,9850
29141,20627
29223,12873
29179,6270
29189,994205
29201,38280
29209,31952
29009,35789
29011,11754
29019,180463
29039,14349
29051,76745
29055,23920
29073,14706
29093,10125
29117,15227
29121,15117
29135,16132
29149,10529
29155,15805
29159,42339
29186,17894
29203,8166
29175,24748
29067,13185
29069,29131
29071,103967
29083,21824
29089,10001
29095,703011
29109,38355
29131,25619
29169,52607
29171,4696
29213,55928
29215,25398
29021,87364
29025,9020
29027,44743
29037,105780
29049,20387
47095,7016
47093,470313
47101,12268
47107,53794
47117,34375
47131,30069
47143,33167
47151,22068
47167,61599
47001,76978
47045,37159
47049,18523
47053,49133
47065,367804
47069,25050
47105,54068
47139,16832
47149,332285
47159,20157
47185,27345
47189,144657
47163,158348
47171,17883
47179,129375
47183,33328
47005,16160
47007,15064
47013,39842
47015,14678
47083,8201
47119,96387
48373,51353
48391,6948
48467,56590
