"","GEOID","ct_x","ct_y"
"1",31039,-96.7874162669,41.9163902045
"2",53069,-123.433482977,46.2911673643
"3",35011,-104.41194637,34.3424135608
"4",31109,-96.6877623928,40.7841651576
"5",31129,-98.0471728042,40.1763783845
"6",72085,-65.8693154036,18.1875671646
"7",46099,-96.7914403089,43.6741702082
"8",48327,-99.8206402716,30.8897768199
"9",6091,-120.516010163,39.5803805105
"10",21053,-85.1360215974,36.7274765803
"11",39063,-83.66653261,41.0019364449
"12",48189,-101.826873253,34.0705072132
"13",1027,-85.8605431957,33.2690838801
"14",48011,-101.357401088,34.964922698
"15",39003,-84.1057523051,40.7715168006
"16",13189,-82.4813829357,33.4828676322
"17",55111,-89.9482341423,43.4266555963
"18",5137,-92.1566979326,35.8598247167
"19",41063,-117.181028887,45.5798521378
"20",42007,-80.3493068075,40.6822595146
"21",28061,-89.1188691279,32.0190850512
"22",29083,-93.7927576384,38.3851559884
"23",8109,-106.281541239,38.0805439111
"24",37037,-79.2552696494,35.7025802147
"25",49033,-111.24450145,41.6322311549
"26",40001,-94.6586923227,35.8839212486
"27",39085,-81.2509415184,41.9103508359
"28",51121,-80.3871983661,37.1743077062
"29",47065,-85.1647524,35.1808741284
"30",35035,-105.741444671,32.6131387963
"31",35003,-108.404762203,33.9153528444
"32",1091,-87.7895012622,32.247621793
"33",56023,-110.655953085,42.2637935754
"34",29011,-94.3471018826,37.5022953987
"35",48057,-96.6150755039,28.4391036191
"36",51735,-76.2704593663,37.1502938322
"37",54075,-80.0077580253,38.3317338144
"38",48077,-98.2084920777,33.7855243061
"39",51095,-76.7737687296,37.3133215485
"40",31101,-101.661358631,41.1987904801
"41",31137,-99.4145435046,40.5111103704
"42",22019,-93.3579741061,30.2292364348
"43",22111,-92.3748432402,32.8319119772
"44",40135,-94.7552704575,35.4953619775
"45",1049,-85.804138181,34.4597704019
"46",36101,-77.3837882651,42.267809081
"47",42053,-79.2360144559,41.513084381
"48",22105,-90.4056649537,30.6266317308
"49",51179,-77.4574070143,38.4207140913
"50",26109,-87.5097113514,45.5251197415
"51",18073,-87.1161242979,41.0229976875
"52",13025,-81.9819581115,31.1969237594
"53",13171,-84.1394354185,33.0765392665
"54",18151,-85.0007710013,41.6438796825
"55",48361,-93.8938702928,30.1212814437
"56",39047,-83.4560879305,39.5598698753
"57",25015,-72.6637774054,42.3401606254
"58",21003,-86.190412901,36.7513226655
"59",37001,-79.3994225359,36.0437009451
"60",20073,-96.2326506819,37.8777738003
"61",25025,-70.9855630807,42.3486557934
"62",16051,-112.311290134,43.8201240525
"63",48177,-97.4925390854,29.4567459851
"64",47115,-85.6219936035,35.1293513296
"65",26007,-83.1651938879,45.0311066647
"66",21231,-84.8285833354,36.8012570576
"67",47185,-85.4552033871,35.9263552503
"68",48147,-96.1068223625,33.5938026504
"69",20043,-95.146802243,39.7880722088
"70",48265,-99.3501491319,30.0614821998
"71",12053,-82.4684281938,28.556161439
"72",12129,-84.3756207228,30.1477787799
"73",12131,-86.1715510758,30.6184823963
"74",28017,-88.9478785057,33.9207892997
"75",2130,-131.046431766,55.4608661617
"76",26035,-84.8478706768,43.9878856893
"77",20157,-97.6506291751,39.827788898
"78",12127,-81.1485563648,29.0634425488
"79",40017,-97.9823943271,35.5424556136
"80",72115,-66.926226231,18.4629414099
"81",78030,-64.9671115349,18.3286254537
"82",13115,-85.2142356037,34.2632068849
"83",32001,-118.335742103,39.5808734494
"84",31181,-98.4999421069,40.1764245975
"85",17067,-91.1646760642,40.4037717975
"86",46067,-97.754423982,43.3348334697
"87",41013,-120.35657731,44.1421782634
"88",50011,-72.9120322863,44.857517323
"89",26103,-87.573523633,46.6628751025
"90",9007,-72.5230975593,41.4353771781
"91",37057,-80.212749103,35.7933717249
"92",17025,-88.4902415361,38.7541850603
"93",29103,-92.1480737056,40.1282460571
"94",29117,-93.5482768056,39.7820988564
"95",42117,-77.2542710901,41.7721516917
"96",31043,-96.5645096269,42.3911259118
"97",26089,-86.0384992663,45.1517675643
"98",51181,-76.8883521873,37.1168803379
"99",48391,-97.1594578959,28.3216348781
"100",39017,-84.5756367964,39.4385928859
"101",13273,-84.4369571233,31.7768911232
"102",13063,-84.3576254676,33.5418909223
"103",56013,-108.630437029,43.040528858
"104",18115,-84.9650991624,38.9501389146
"105",13073,-82.2640305519,33.5441086816
"106",8115,-102.351791493,40.8759056812
"107",30065,-108.398140505,46.4965320789
"108",42043,-76.7794847844,40.4154197386
"109",46101,-96.6709304123,44.0220028866
"110",54079,-81.9089722688,38.5086259962
"111",34037,-74.6907747243,41.1392760812
"112",20039,-100.459894702,39.7847469521
"113",18123,-86.6379722845,38.0796821016
"114",28145,-89.0038661106,34.4904785906
"115",31015,-98.7664639707,42.8997077698
"116",27095,-93.630075309,45.938034022
"117",38099,-97.7213895345,48.3694595587
"118",39115,-81.8526596435,39.6203572758
"119",39133,-81.1973910612,41.1676796676
"120",56041,-110.547579986,41.2874834892
"121",32013,-118.111965925,41.406843461
"122",48247,-98.6972985369,27.0434093487
"123",8017,-102.603395855,38.8279435727
"124",41005,-122.220810859,45.1880357061
"125",5113,-94.2280728899,34.4858519515
"126",13193,-84.0424889862,32.3583713122
"127",18007,-87.3109118085,40.6062515516
"128",47129,-84.6492328046,36.1350421017
"129",46043,-98.3660640506,43.3869133574
"130",24047,-75.2966992033,38.216493451
"131",17185,-87.8443960586,38.4460926151
"132",18069,-85.4881592287,40.8292150805
"133",21209,-84.5840233013,38.2914458716
"134",19053,-93.7862881757,40.7376794757
"135",18169,-85.7940053976,40.8456745952
"136",18003,-85.0665556504,41.0908744155
"137",18099,-86.2617836317,41.3248543416
"138",31171,-100.555843193,41.9134997338
"139",38085,-101.040476563,46.1126257927
"140",48127,-99.7567197679,28.4225347231
"141",27045,-92.0901683117,43.6739808452
"142",45023,-81.1595316122,34.6920385066
"143",27073,-96.1735392206,44.9954684912
"144",49005,-111.743643781,41.7224145868
"145",55093,-92.4225023081,44.7196313803
