Code,District,Population
CZ0201,Benešov,99414
CZ0202,Beroun,95058
CZ0203,Kladno,166483
CZ0204,Kolín,102623
CZ0205,Kutná Hora,75828
CZ0206,Mělník,109302
CZ0207,Mladá Boleslav,130365
CZ0208,Nymburk,100886
CZ0209,Praha-východ,185178
CZ020A,Praha-západ,149338
CZ020B,Příbram,115104
CZ020C,Rakovník,55562
CZ0311,České Budějovice,195903
CZ0312,Český Krumlov,61556
CZ0313,Jindřichův Hradec,90692
CZ0314,Písek,71587
CZ0315,Prachatice,50978
CZ0316,Strakonice,70772
CZ0317,Tábor,102595
CZ0321,Domažlice,62062
CZ0322,Klatovy,86405
CZ0323,Plzeň-město,194280
CZ0324,Plzeň-jih,63488
CZ0325,Plzeň-sever,79979
CZ0326,Rokycany,49349
CZ0327,Tachov,54336
CZ0411,Cheb,91634
CZ0412,Karlovy Vary,114818
CZ0413,Sokolov,88212
CZ0421,Děčín,129542
CZ0422,Chomutov,124946
CZ0423,Litoměřice,119668
CZ0424,Louny,86691
CZ0425,Most,111708
CZ0426,Teplice,129072
CZ0427,Ústí nad Labem,119338
CZ0511,Česká Lípa,103300
CZ0512,Jablonec nad Nisou,90667
CZ0513,Liberec,175626
CZ0514,Semily,74097
CZ0521,Hradec Králové,164283
CZ0522,Jičín,80045
CZ0523,Náchod,109958
CZ0524,Rychnov nad Kněžnou,79383
CZ0525,Trutnov,117978
CZ0531,Chrudim,104613
CZ0532,Pardubice,175441
CZ0533,Svitavy,104333
CZ0534,Ústí nad Orlicí,138275
CZ0631,Havlíčkův Brod,94915
CZ0632,Jihlava,113628
CZ0633,Pelhřimov,72302
CZ0634,Třebíč,110810
CZ0635,Žďár nad Sázavou,118158
CZ0641,Blansko,109136
CZ0642,Brno-město,381346
CZ0643,Brno-venkov,224642
CZ0644,Břeclav,116291
CZ0645,Hodonín,153943
CZ0646,Vyškov,92280
CZ0647,Znojmo,114351
CZ0711,Jeseník,37968
CZ0712,Olomouc,235472
CZ0713,Prostějov,108646
CZ0714,Přerov,129512
CZ0715,Šumperk,120417
CZ0721,Kroměříž,105343
CZ0722,Uherské Hradiště,142226
CZ0723,Vsetín,143334
CZ0724,Zlín,191652
CZ0801,Bruntál,91597
CZ0802,Frýdek-Místek,214660
CZ0803,Karviná,246324
CZ0804,Nový Jičín,151577
CZ0805,Opava,176236
CZ0806,Ostrava-město,320145
CZ0100,Praha,1305737
CZ0627,Znojmo,111380
