state	pop
CA	39512223
TX	28995881
FL	21477737
NY	19453561
PA	12801989
IL	12671821
OH	11689100
GA	10617423
NC	10488084
MI	9986857
NJ	8882190
VA	8535519
WA	7614893
AZ	7278717
MA	6949503
TN	6833174
IN	6732219
MO	6137428
MD	6045680
WI	5822434
CO	5758736
MN	5639632
SC	5148714
AL	4903185
LA	4648794
KY	4467673
OR	4217737
OK	3956971
CT	3565287
UT	3205958
PR	3193694
IA	3155070
NV	3080156
AR	3017825
MS	2976149
KS	2913314
NM	2096829
NE	1934408
WV	1792147
ID	1787065
HI	1415872
NH	1359711
ME	1344212
MT	1068778
RI	1059361
DE	973764
SD	884659
ND	762062 
AK	731545
DC	705749
VT	623989
WY	578759
GU	165718
VI	104914
AS	55641
MP	55194

