ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
36003,Autauga County,AL,01001,H1
36006,Autauga County,AL,01001,H1
36067,Autauga County,AL,01001,H1
36066,Autauga County,AL,01001,H1
36703,Autauga County,AL,01001,H1
36701,Autauga County,AL,01001,H1
36091,Autauga County,AL,01001,H1
36051,Autauga County,AL,01001,H1
36068,Autauga County,AL,01001,H1
36008,Autauga County,AL,01001,H1
36022,Autauga County,AL,01001,H1
36749,Autauga County,AL,01001,H1
36758,Autauga County,AL,01001,H1
36550,Baldwin County,AL,01003,H1
36551,Baldwin County,AL,01003,H1
36527,Baldwin County,AL,01003,H1
36577,Baldwin County,AL,01003,H1
36559,Baldwin County,AL,01003,H1
36536,Baldwin County,AL,01003,H1
36576,Baldwin County,AL,01003,H1
36579,Baldwin County,AL,01003,H1
36502,Baldwin County,AL,01003,H1
36578,Baldwin County,AL,01003,H1
36533,Baldwin County,AL,01003,H1
36564,Baldwin County,AL,01003,H1
36561,Baldwin County,AL,01003,H1
36580,Baldwin County,AL,01003,H1
36535,Baldwin County,AL,01003,H1
36547,Baldwin County,AL,01003,H1
36549,Baldwin County,AL,01003,H1
36530,Baldwin County,AL,01003,H1
36562,Baldwin County,AL,01003,H1
36532,Baldwin County,AL,01003,H1
36526,Baldwin County,AL,01003,H1
36555,Baldwin County,AL,01003,H1
36511,Baldwin County,AL,01003,H1
36567,Baldwin County,AL,01003,H1
36574,Baldwin County,AL,01003,H1
36480,Baldwin County,AL,01003,H1
36507,Baldwin County,AL,01003,H1
36542,Baldwin County,AL,01003,H1
36017,Barbour County,AL,01005,H1
36016,Barbour County,AL,01005,H1
36311,Barbour County,AL,01005,H1
36374,Barbour County,AL,01005,H1
36048,Barbour County,AL,01005,H1
36053,Barbour County,AL,01005,H1
36317,Barbour County,AL,01005,H1
36027,Barbour County,AL,01005,H1
36072,Barbour County,AL,01005,H1
35035,Bibb County,AL,01007,H1
35034,Bibb County,AL,01007,H1
36750,Bibb County,AL,01007,H1
35115,Bibb County,AL,01007,H1
35188,Bibb County,AL,01007,H1
36793,Bibb County,AL,01007,H1
35074,Bibb County,AL,01007,H1
35042,Bibb County,AL,01007,H1
35111,Bibb County,AL,01007,H1
35184,Bibb County,AL,01007,H1
36792,Bibb County,AL,01007,H1
35456,Bibb County,AL,01007,H1
35031,Blount County,AL,01009,H1
35121,Blount County,AL,01009,H1
35063,Blount County,AL,01009,H1
35016,Blount County,AL,01009,H1
35079,Blount County,AL,01009,H1
35097,Blount County,AL,01009,H1
35133,Blount County,AL,01009,H1
35957,Blount County,AL,01009,H1
35126,Blount County,AL,01009,H1
35049,Blount County,AL,01009,H1
35172,Blount County,AL,01009,H1
35952,Blount County,AL,01009,H1
35180,Blount County,AL,01009,H1
35146,Blount County,AL,01009,H1
35976,Blount County,AL,01009,H1
35980,Blount County,AL,01009,H1
35013,Blount County,AL,01009,H1
36830,Bullock County,AL,01011,H1
36031,Bullock County,AL,01011,H1
36089,Bullock County,AL,01011,H1
36029,Bullock County,AL,01011,H1
36081,Bullock County,AL,01011,H1
36860,Bullock County,AL,01011,H1
36053,Bullock County,AL,01011,H1
36005,Bullock County,AL,01011,H1
36052,Bullock County,AL,01011,H1
36037,Butler County,AL,01013,H1
36033,Butler County,AL,01013,H1
36032,Butler County,AL,01013,H1
36456,Butler County,AL,01013,H1
36474,Butler County,AL,01013,H1
36030,Butler County,AL,01013,H1
36042,Butler County,AL,01013,H1
36071,Butler County,AL,01013,H1
36015,Butler County,AL,01013,H1
36206,Calhoun County,AL,01015,H1
36204,Calhoun County,AL,01015,H1
35096,Calhoun County,AL,01015,H1
36279,Calhoun County,AL,01015,H1
36205,Calhoun County,AL,01015,H1
36260,Calhoun County,AL,01015,H1
36271,Calhoun County,AL,01015,H1
36272,Calhoun County,AL,01015,H1
36201,Calhoun County,AL,01015,H1
36203,Calhoun County,AL,01015,H1
36207,Calhoun County,AL,01015,H1
36265,Calhoun County,AL,01015,H1
36202,Calhoun County,AL,01015,H1
36257,Calhoun County,AL,01015,H1
36253,Calhoun County,AL,01015,H1
36254,Calhoun County,AL,01015,H1
35905,Calhoun County,AL,01015,H1
36250,Calhoun County,AL,01015,H1
36277,Calhoun County,AL,01015,H1
36852,Chambers County,AL,01017,H1
36855,Chambers County,AL,01017,H1
36879,Chambers County,AL,01017,H1
36274,Chambers County,AL,01017,H1
36862,Chambers County,AL,01017,H1
36863,Chambers County,AL,01017,H1
36801,Chambers County,AL,01017,H1
36854,Chambers County,AL,01017,H1
36276,Chambers County,AL,01017,H1
36850,Chambers County,AL,01017,H1
35973,Cherokee County,AL,01019,H1
35959,Cherokee County,AL,01019,H1
35901,Cherokee County,AL,01019,H1
35984,Cherokee County,AL,01019,H1
36272,Cherokee County,AL,01019,H1
35967,Cherokee County,AL,01019,H1
35961,Cherokee County,AL,01019,H1
35903,Cherokee County,AL,01019,H1
36275,Cherokee County,AL,01019,H1
35960,Cherokee County,AL,01019,H1
35983,Cherokee County,AL,01019,H1
36006,Chilton County,AL,01021,H1
35115,Chilton County,AL,01021,H1
35040,Chilton County,AL,01021,H1
36790,Chilton County,AL,01021,H1
36758,Chilton County,AL,01021,H1
36793,Chilton County,AL,01021,H1
36750,Chilton County,AL,01021,H1
36051,Chilton County,AL,01021,H1
35046,Chilton County,AL,01021,H1
35045,Chilton County,AL,01021,H1
35171,Chilton County,AL,01021,H1
36792,Chilton County,AL,01021,H1
35085,Chilton County,AL,01021,H1
36091,Chilton County,AL,01021,H1
36908,Choctaw County,AL,01023,H1
36913,Choctaw County,AL,01023,H1
36919,Choctaw County,AL,01023,H1
36921,Choctaw County,AL,01023,H1
36904,Choctaw County,AL,01023,H1
36912,Choctaw County,AL,01023,H1
36910,Choctaw County,AL,01023,H1
36916,Choctaw County,AL,01023,H1
36922,Choctaw County,AL,01023,H1
36558,Choctaw County,AL,01023,H1
36915,Choctaw County,AL,01023,H1
36436,Clarke County,AL,01025,H1
36751,Clarke County,AL,01025,H1
36446,Clarke County,AL,01025,H1
36524,Clarke County,AL,01025,H1
36784,Clarke County,AL,01025,H1
36451,Clarke County,AL,01025,H1
36540,Clarke County,AL,01025,H1
36482,Clarke County,AL,01025,H1
36727,Clarke County,AL,01025,H1
36782,Clarke County,AL,01025,H1
36545,Clarke County,AL,01025,H1
36251,Clay County,AL,01027,H1
36267,Clay County,AL,01027,H1
35082,Clay County,AL,01027,H1
35160,Clay County,AL,01027,H1
35072,Clay County,AL,01027,H1
35089,Clay County,AL,01027,H1
36266,Clay County,AL,01027,H1
36255,Clay County,AL,01027,H1
36256,Clay County,AL,01027,H1
36258,Clay County,AL,01027,H1
36276,Clay County,AL,01027,H1
36268,Clay County,AL,01027,H1
36273,Cleburne County,AL,01029,H1
36269,Cleburne County,AL,01029,H1
36207,Cleburne County,AL,01029,H1
36268,Cleburne County,AL,01029,H1
36258,Cleburne County,AL,01029,H1
36262,Cleburne County,AL,01029,H1
36261,Cleburne County,AL,01029,H1
36264,Cleburne County,AL,01029,H1
36272,Cleburne County,AL,01029,H1
36322,Coffee County,AL,01031,H1
36453,Coffee County,AL,01031,H1
36079,Coffee County,AL,01031,H1
36351,Coffee County,AL,01031,H1
36477,Coffee County,AL,01031,H1
36346,Coffee County,AL,01031,H1
36311,Coffee County,AL,01031,H1
36010,Coffee County,AL,01031,H1
36318,Coffee County,AL,01031,H1
36034,Coffee County,AL,01031,H1
36316,Coffee County,AL,01031,H1
36009,Coffee County,AL,01031,H1
36330,Coffee County,AL,01031,H1
36323,Coffee County,AL,01031,H1
36467,Coffee County,AL,01031,H1
36360,Coffee County,AL,01031,H1
35616,Colbert County,AL,01033,H1
35654,Colbert County,AL,01033,H1
35646,Colbert County,AL,01033,H1
35653,Colbert County,AL,01033,H1
35582,Colbert County,AL,01033,H1
35674,Colbert County,AL,01033,H1
35661,Colbert County,AL,01033,H1
35672,Colbert County,AL,01033,H1
35660,Colbert County,AL,01033,H1
36471,Conecuh County,AL,01035,H1
36330,Conecuh County,AL,01035,H1
36426,Conecuh County,AL,01035,H1
36454,Conecuh County,AL,01035,H1
36460,Conecuh County,AL,01035,H1
36401,Conecuh County,AL,01035,H1
36442,Conecuh County,AL,01035,H1
36473,Conecuh County,AL,01035,H1
36502,Conecuh County,AL,01035,H1
36475,Conecuh County,AL,01035,H1
36456,Conecuh County,AL,01035,H1
36432,Conecuh County,AL,01035,H1
36474,Conecuh County,AL,01035,H1
36421,Conecuh County,AL,01035,H1
36033,Conecuh County,AL,01035,H1
35151,Coosa County,AL,01037,H1
35150,Coosa County,AL,01037,H1
36026,Coosa County,AL,01037,H1
36080,Coosa County,AL,01037,H1
35046,Coosa County,AL,01037,H1
35089,Coosa County,AL,01037,H1
35136,Coosa County,AL,01037,H1
35072,Coosa County,AL,01037,H1
35010,Coosa County,AL,01037,H1
35183,Coosa County,AL,01037,H1
36420,Covington County,AL,01039,H1
36421,Covington County,AL,01039,H1
36453,Covington County,AL,01039,H1
36483,Covington County,AL,01039,H1
36455,Covington County,AL,01039,H1
36476,Covington County,AL,01039,H1
36467,Covington County,AL,01039,H1
36474,Covington County,AL,01039,H1
36038,Covington County,AL,01039,H1
36401,Covington County,AL,01039,H1
36028,Covington County,AL,01039,H1
36477,Covington County,AL,01039,H1
36442,Covington County,AL,01039,H1
36456,Covington County,AL,01039,H1
36037,Crenshaw County,AL,01041,H1
36035,Crenshaw County,AL,01041,H1
36009,Crenshaw County,AL,01041,H1
36071,Crenshaw County,AL,01041,H1
36049,Crenshaw County,AL,01041,H1
36028,Crenshaw County,AL,01041,H1
36036,Crenshaw County,AL,01041,H1
36041,Crenshaw County,AL,01041,H1
36034,Crenshaw County,AL,01041,H1
36046,Crenshaw County,AL,01041,H1
36042,Crenshaw County,AL,01041,H1
36467,Crenshaw County,AL,01041,H1
36323,Crenshaw County,AL,01041,H1
35057,Cullman County,AL,01043,H1
35087,Cullman County,AL,01043,H1
35033,Cullman County,AL,01043,H1
35058,Cullman County,AL,01043,H1
35056,Cullman County,AL,01043,H1
35179,Cullman County,AL,01043,H1
35622,Cullman County,AL,01043,H1
35053,Cullman County,AL,01043,H1
35098,Cullman County,AL,01043,H1
35619,Cullman County,AL,01043,H1
35541,Cullman County,AL,01043,H1
35670,Cullman County,AL,01043,H1
35077,Cullman County,AL,01043,H1
35016,Cullman County,AL,01043,H1
35621,Cullman County,AL,01043,H1
35540,Cullman County,AL,01043,H1
35976,Cullman County,AL,01043,H1
35083,Cullman County,AL,01043,H1
35070,Cullman County,AL,01043,H1
35019,Cullman County,AL,01043,H1
35055,Cullman County,AL,01043,H1
36322,Dale County,AL,01045,H1
